name,xTB_ene
TZIHFWKZFHZASV_3_0_0,-14.299109999999999
TZIHFWKZFHZASV_9_0_1,-14.314425
UKQJDWBNQNAJHB_10_0_1,-21.556436
UKQJDWBNQNAJHB_10_0_2,-21.543316
UKQJDWBNQNAJHB_11_1_0,-21.484081
UKQJDWBNQNAJHB_13_0_0,-21.502722000000002
UKQJDWBNQNAJHB_13_0_1,-21.507087
UKQJDWBNQNAJHB_13_0_2,-21.503172
UKQJDWBNQNAJHB_14_0_0,-21.526875999999998
UKQJDWBNQNAJHB_17_0_2,-21.547722999999998
UKQJDWBNQNAJHB_19_0_1,-21.541998
UKQJDWBNQNAJHB_25_0_0,-21.549234
UKQJDWBNQNAJHB_25_1_0,-21.610111
UKQJDWBNQNAJHB_26_0_0,-21.503521
UKQJDWBNQNAJHB_27_0_1,-21.530113
UKQJDWBNQNAJHB_30_0_2,-21.495079
UKQJDWBNQNAJHB_32_0_1,-21.507712
UKQJDWBNQNAJHB_33_0_0,-21.540029
UKQJDWBNQNAJHB_33_0_1,-21.53931
UKQJDWBNQNAJHB_33_0_3,-21.543842
UKQJDWBNQNAJHB_36_0_0,-21.570767
UKQJDWBNQNAJHB_36_0_2,-21.565870999999998
UNDVYEZBHTWISS_10_0_0,-23.80677
UNDVYEZBHTWISS_13_0_0,-23.753079
UNDVYEZBHTWISS_15_0_0,-23.737802000000002
UNDVYEZBHTWISS_15_0_2,-23.741592
UNDVYEZBHTWISS_17_0_2,-23.806935
UNDVYEZBHTWISS_19_0_0,-23.843193000000003
UNDVYEZBHTWISS_19_1_1,-23.790788
UNDVYEZBHTWISS_22_0_0,-23.743913
UNDVYEZBHTWISS_22_0_2,-23.746976
UNDVYEZBHTWISS_27_0_0,-23.786159
UNDVYEZBHTWISS_4_1_0,-23.709628000000002
UTLVMFCPERHVKU_10_1_0,-21.414519000000002
UTLVMFCPERHVKU_12_0_1,-21.509027999999997
UTLVMFCPERHVKU_12_0_2,-21.508278
UTLVMFCPERHVKU_12_0_3,-21.513247
UTLVMFCPERHVKU_16_0_1,-21.468549
UTLVMFCPERHVKU_16_0_2,-21.469483
UTLVMFCPERHVKU_18_0_0,-21.464253
UTLVMFCPERHVKU_18_0_3,-21.464387000000002
UTLVMFCPERHVKU_22_0_0,-21.458099
UTLVMFCPERHVKU_22_0_1,-21.46208
UTLVMFCPERHVKU_22_0_2,-21.465467
UTLVMFCPERHVKU_25_0_3,-21.493783999999998
UTLVMFCPERHVKU_34_1_0,-21.497415
UTLVMFCPERHVKU_34_1_3,-21.496918
UTLVMFCPERHVKU_5_0_0,-21.445349
UTLVMFCPERHVKU_5_0_3,-21.445068
UUIQMZJEGPQKFD_10_0_0,-23.822944
UUIQMZJEGPQKFD_10_0_1,-23.822034000000002
UUIQMZJEGPQKFD_16_0_0,-23.791135
UUIQMZJEGPQKFD_17_0_1,-23.771431999999997
UUIQMZJEGPQKFD_21_0_2,-23.783717
UUIQMZJEGPQKFD_22_0_0,-23.824907000000003
UUIQMZJEGPQKFD_23_0_2,-23.749198000000003
UUIQMZJEGPQKFD_24_0_0,-23.828916
UUIQMZJEGPQKFD_24_0_3,-23.833407
UUIQMZJEGPQKFD_25_0_0,-23.7973
UUIQMZJEGPQKFD_25_0_1,-23.799439
UUIQMZJEGPQKFD_25_0_2,-23.797422
UUIQMZJEGPQKFD_25_0_3,-23.801557
UUIQMZJEGPQKFD_2_0_0,-23.821955
UUIQMZJEGPQKFD_2_1_0,-23.790001
UUIQMZJEGPQKFD_2_1_2,-23.788574999999998
UUIQMZJEGPQKFD_43_0_0,-23.827762000000003
UUIQMZJEGPQKFD_43_0_1,-23.827669
UUIQMZJEGPQKFD_43_0_3,-23.827778
UUIQMZJEGPQKFD_46_0_0,-23.815707
UUIQMZJEGPQKFD_47_0_1,-23.785197
UUIQMZJEGPQKFD_48_0_0,-23.806770999999998
UUIQMZJEGPQKFD_48_0_1,-23.843462000000002
UUIQMZJEGPQKFD_49_0_0,-23.759561
UUIQMZJEGPQKFD_4_1_1,-23.806578
UUIQMZJEGPQKFD_5_0_0,-23.781151
UUIQMZJEGPQKFD_5_0_2,-23.779490000000003
UUIQMZJEGPQKFD_5_1_0,-23.792934000000002
UUIQMZJEGPQKFD_7_0_1,-23.748514
UUIQMZJEGPQKFD_8_0_0,-23.790681
UUIQMZJEGPQKFD_8_0_1,-23.789828
VEZXCJBBBCKRPI_12_0_0,-16.438307
VEZXCJBBBCKRPI_4_0_0,-16.498235
VGGSQ-YOTZY_1_1_1,-16.50832
VGGSQ-YOTZY_1_1_3,-16.500779
VGGSQ-YOTZY_2_0_3,-16.506952
VGGSQ-YOTZY_3_0_1,-16.498624999999997
VGGSQ-YOTZY_3_0_3,-16.577392
VGGSQ-YOTZY_4_0_3,-16.536936999999998
VGGSQ-YOTZY_5_0_0,-16.596024999999997
VGGSQ-YOTZY_5_0_2,-16.53216
VGGSQ-YOTZY_6_0_1,-16.575392
VGGSQ-YOTZY_6_0_2,-16.508591
VGGSQ-YOTZY_6_0_3,-16.492713
VQTUB-XLYOF_2_0_0,-17.539816000000002
VQTUB-XLYOF_2_0_2,-17.536456
VQTUB-XLYOF_4_0_0,-17.616448000000002
VQTUB-XLYOF_5_0_0,-17.604107
VQTUB-XLYOF_6_0_0,-17.543356000000003
VQTUB-XLYOF_6_0_2,-17.557874
VQTUB-XLYOF_6_0_3,-17.538543999999998
WGCNASOHLSPBMP_1_0_1,-14.286745
WGCNASOHLSPBMP_1_0_2,-14.295924
WGCNASOHLSPBMP_5_0_1,-14.279442
WGCNASOHLSPBMP_5_1_0,-14.319502
WGCNASOHLSPBMP_5_1_1,-14.32713
WGCNASOHLSPBMP_5_1_3,-14.317480999999999
WGCNASOHLSPBMP_5_2_0,-14.335182000000001
WGCNASOHLSPBMP_6_0_0,-14.28623
WGCNASOHLSPBMP_7_0_0,-14.275649
WGCNASOHLSPBMP_7_0_1,-14.253478
WGCNASOHLSPBMP_8_0_0,-14.309303000000002
WGCNASOHLSPBMP_8_0_1,-14.306556
WGCNASOHLSPBMP_8_0_3,-14.315393
WNVAJGCMEDTLIE_10_0_3,-23.698579
WNVAJGCMEDTLIE_13_0_0,-23.721341
WNVAJGCMEDTLIE_13_1_1,-23.733986
WNVAJGCMEDTLIE_15_0_0,-23.658319
WNVAJGCMEDTLIE_16_0_0,-23.663382000000002
WNVAJGCMEDTLIE_26_0_0,-23.705701
WNVAJGCMEDTLIE_29_0_2,-23.693922
WNVAJGCMEDTLIE_2_0_3,-23.67128
WNVAJGCMEDTLIE_38_0_0,-23.722879
WNVAJGCMEDTLIE_4_1_1,-23.680589
WNVAJGCMEDTLIE_4_1_3,-23.701520000000002
WNVAJGCMEDTLIE_6_0_0,-23.706532
WSMYVTOQOOLQHP_1_0_0,-16.427061
WSMYVTOQOOLQHP_2_0_0,-16.482215
WSMYVTOQOOLQHP_2_0_2,-16.476724
WSMYVTOQOOLQHP_6_0_0,-16.446884
WSMYVTOQOOLQHP_6_0_1,-16.448207
WSMYVTOQOOLQHP_6_0_2,-16.447371
WSMYVTOQOOLQHP_9_0_0,-16.456106000000002
XLYOF-ZEXFA_10_0_1,-21.612366
XLYOF-ZEXFA_5_0_0,-21.596187
XLYOF-ZEXFA_5_0_1,-21.594250000000002
XLYOF-ZEXFA_7_0_0,-21.69062
XLYOF-ZEXFA_8_0_1,-21.667537
XLYOF-ZEXFA_8_0_2,-21.669573
XNWRZCQKQJHEGJ_10_0_1,-23.722574
XNWRZCQKQJHEGJ_12_0_1,-23.666173
XNWRZCQKQJHEGJ_12_1_1,-23.664381
XNWRZCQKQJHEGJ_15_0_1,-23.685458999999998
XNWRZCQKQJHEGJ_15_0_3,-23.682548999999998
XNWRZCQKQJHEGJ_16_0_0,-23.68458
XNWRZCQKQJHEGJ_16_0_2,-23.714416999999997
XNWRZCQKQJHEGJ_16_0_3,-23.686383
XNWRZCQKQJHEGJ_18_0_0,-23.658625999999998
XNWRZCQKQJHEGJ_18_0_2,-23.658114
XNWRZCQKQJHEGJ_22_0_1,-23.711651
XNWRZCQKQJHEGJ_22_0_2,-23.705499
XNWRZCQKQJHEGJ_22_0_3,-23.695539
XNWRZCQKQJHEGJ_29_0_2,-23.687469999999998
XNWRZCQKQJHEGJ_37_0_2,-23.661997
XNWRZCQKQJHEGJ_40_0_0,-23.675131
XNWRZCQKQJHEGJ_40_0_2,-23.667816000000002
XNWRZCQKQJHEGJ_40_0_3,-23.726851
XNWRZCQKQJHEGJ_44_0_1,-23.720673
XNWRZCQKQJHEGJ_45_0_0,-23.667384
XNWRZCQKQJHEGJ_45_0_1,-23.667591
XNWRZCQKQJHEGJ_46_0_0,-23.716818
XSASRUDTFFBDDK_10_0_0,-21.475926
XSASRUDTFFBDDK_10_0_1,-21.475059
XSASRUDTFFBDDK_10_0_3,-21.475993
XSASRUDTFFBDDK_13_1_0,-21.477220000000003
XSASRUDTFFBDDK_13_2_0,-21.463752
XSASRUDTFFBDDK_21_0_0,-21.486793
XSASRUDTFFBDDK_24_0_1,-21.443341
XSASRUDTFFBDDK_24_0_2,-21.444969999999998
XSASRUDTFFBDDK_24_0_3,-21.441914
XSASRUDTFFBDDK_25_0_3,-21.521487
XSASRUDTFFBDDK_29_0_3,-21.464025999999997
XSASRUDTFFBDDK_34_1_0,-21.518746
XSASRUDTFFBDDK_34_1_2,-21.5226
XSASRUDTFFBDDK_36_0_0,-21.466846
XSASRUDTFFBDDK_36_0_1,-21.464897
XSASRUDTFFBDDK_38_0_0,-21.482913999999997
XSASRUDTFFBDDK_38_0_3,-21.482495
XSASRUDTFFBDDK_5_0_3,-21.439452
XSASRUDTFFBDDK_6_0_0,-21.43421
XSASRUDTFFBDDK_6_0_1,-21.435185999999998
XSASRUDTFFBDDK_9_0_1,-21.485399
XSASRUDTFFBDDK_9_0_2,-21.484301000000002
YFHICDDUDORKJB_10_0_0,-23.712096
YFHICDDUDORKJB_12_0_0,-23.723192
YFHICDDUDORKJB_14_0_1,-23.685319
ZDNJYCQSGYLNJQ_14_0_0,-17.504207
ZDNJYCQSGYLNJQ_14_0_1,-17.498963
ZDNJYCQSGYLNJQ_2_0_0,-17.453274
ZDNJYCQSGYLNJQ_2_0_1,-17.458999
ZDNJYCQSGYLNJQ_4_0_2,-17.458045000000002
ZDNJYCQSGYLNJQ_4_1_0,-17.508416999999998
ZDNJYCQSGYLNJQ_8_0_1,-17.44122
ZDNJYCQSGYLNJQ_9_0_1,-17.447002
ZTQSAGDEMFDKMZ_10_0_0,-16.536679
ZTQSAGDEMFDKMZ_13_0_1,-16.580205
ZTQSAGDEMFDKMZ_13_0_3,-16.570556
